capture_date,last_update,confirmed,deaths,recovered,active,incident_rate,case_fatality_ratio,uid
2021-04-15,2021-04-15 04:20:54,893040,19715,630204,243121,7810.419437470335,2.207627877810624,7616
2021-04-15,2021-04-15 04:20:54,375115,12988,315417,46710,3924.9996154679607,3.462404862508831,7617
2021-04-15,2021-04-15 04:20:54,221617,4633,215624,1360,6770.596723050372,2.090543595482296,7618
2021-04-15,2021-04-15 04:20:54,209415,4983,150649,53783,5971.59333453669,2.3794857101926796,7620
2021-04-15,2021-04-15 04:20:54,904944,22565,867860,14519,7953.986024201478,2.4935244611821283,7621
2021-04-15,2021-04-15 04:20:54,688797,40091,640823,7883,3989.57007851112,5.820437661604217,7619
2021-04-15,2021-04-15 04:20:54,200700,4666,180089,15945,11292.88638185936,2.3248629795715,7622
2021-04-15,2021-04-15 04:20:54,92512,1417,85381,5714,15272.029727895986,1.5316931857488758,7623
2021-04-15,2021-04-15 04:20:54,845367,12313,809739,23315,11798.911565841167,1.456527165124733,7624
2021-04-15,2021-04-15 04:20:54,2686031,85475,2307994,292562,5849.491787166586,3.1822045240728793,7625
2021-04-15,2021-04-15 04:20:54,186983,3849,170284,12850,8134.307450832995,2.0584759042265874,7626
2021-04-15,2021-04-15 04:20:54,150210,2309,129261,18640,9550.08246093437,1.5371812795419746,7627
2021-04-15,2021-04-15 04:20:54,219,3,206,10,50.059088010276966,1.36986301369863,96
2021-04-15,2021-04-15 04:20:54,380576,14871,296998,68707,5477.1391296901675,3.907498108130833,100
2021-04-15,2021-04-15 04:20:54,13050,154,12689,207,62.430399672242785,1.1800766283524904,854
2021-04-15,2021-04-15 04:20:54,142605,3206,131874,7525,262.0943574974755,2.2481680165492093,104
2021-04-15,2021-04-15 04:20:54,3333,6,773,2554,28.03011845899777,0.18001800180018002,108
2021-04-15,2021-04-15 04:20:54,19525,188,17645,1692,3511.7664410023244,0.9628681177976952,132
2021-04-15,2021-04-15 04:20:54,4874,35,2290,2549,29.152511838198656,0.718096019696348,116
2021-04-15,2021-04-15 04:20:54,61731,919,35261,25551,232.54470074886243,1.4887171761351672,120
2021-04-15,2021-04-15 04:20:54,164531,2029,146933,15569,3728.202058123615,1.233202253678638,12401
2021-04-15,2021-04-15 04:20:54,114870,1521,103360,9989,2247.5418794709444,1.3241055105771742,12402
2021-04-15,2020-12-21 13:27:30,0,1,0,0,0.0,0.0,12413
2021-04-15,2020-12-21 13:27:30,13,0,13,0,0.0,0.0,12414
2021-04-15,2021-04-15 04:20:54,35539,954,33146,1439,2579.931862909859,2.684374912068432,12403
2021-04-15,2021-04-15 04:20:54,1752,33,1577,142,224.61740041256783,1.8835616438356164,12404
2021-04-15,2021-04-15 04:20:54,1034,6,1010,18,198.3255492792957,0.5802707930367504,12405
2021-04-15,2021-04-15 04:20:54,49,0,48,1,109.12168181008371,0.0,12406
2021-04-15,2021-04-15 04:20:54,1783,66,1675,42,182.4121163386216,3.7016264722378014,12407
2021-04-15,2021-04-15 04:20:54,395,4,391,0,1018.5662712738524,1.0126582278481013,12416
2021-04-15,2021-04-15 04:20:54,406563,7592,363632,35339,2763.5112892504785,1.8673612699630808,12408
2021-04-15,2021-04-15 04:20:54,165,0,159,6,104.3260536931423,0.0,12409
2021-04-15,2021-04-15 04:20:54,331031,10763,306608,13660,3877.297259183239,3.251357123653072,12410
2021-04-15,2021-04-15 04:20:54,13,0,13,0,0.0,0.0,84100000
2021-04-15,2021-04-15 04:20:54,37085,458,34102,2525,3138.3656633938867,1.2350006741270054,12411
2021-04-15,2021-04-15 04:20:54,76,1,73,2,185.01387604070305,1.3157894736842106,12412
2021-04-15,2021-04-15 04:20:54,5682,75,5112,495,117.64549986293328,1.3199577613516367,140
2021-04-15,2021-04-15 04:20:54,4662,167,4312,183,28.38207730871183,3.582153582153582,148
2021-04-15,2021-04-15 04:20:54,45874,909,43661,1304,7550.853120977592,1.9815145834241619,15201
2021-04-15,2021-04-15 04:20:54,62092,756,58462,2874,6486.673965550383,1.2175481543516073,15202
2021-04-15,2021-04-15 04:20:54,18571,363,17552,656,8214.784931967373,1.9546604921652038,15203
2021-04-15,2021-04-15 04:20:54,15945,182,14787,976,5518.370341657899,1.1414236437754781,15204
2021-04-15,2021-04-15 04:20:54,3844,29,3664,151,3726.3227282421144,0.7544224765868887,15205
2021-04-15,2021-04-15 04:20:54,105700,1719,99602,4379,6789.54653922617,1.6263008514664143,15206
2021-04-15,2021-04-15 04:20:54,29336,560,27808,968,3872.2996465087795,1.9089173711480774,15207
2021-04-15,2021-04-15 04:20:54,64788,855,62341,1592,7817.952765027006,1.319688831265049,15208
2021-04-15,2021-04-15 04:20:54,30682,340,29033,1309,7972.726115212415,1.1081415813832214,15209
2021-04-15,2021-04-15 04:20:54,23794,361,23004,429,14287.85886280797,1.5171892073632007,15210
2021-04-15,2021-04-15 04:20:54,61805,1073,56930,3802,5914.637063974353,1.736105493083084,15211
2021-04-15,2021-04-15 04:20:54,457893,13386,428687,15820,6437.584143983642,2.923390399067031,15212
2021-04-15,2021-04-15 04:20:54,23676,429,22195,1052,4926.24982054019,1.8119614799797263,15213
2021-04-15,2021-04-15 04:20:54,43230,959,40045,2226,4726.889033464362,2.2183668748554246,15214
2021-04-15,2021-04-15 04:20:54,31234,567,29566,1101,9448.871302464318,1.815329448677723,15215
2021-04-15,2021-04-15 04:20:54,51,1,46,4,0.0,1.9607843137254901,15217
2021-04-15,2021-04-15 04:20:54,75752,2059,69551,4142,4171.590757651019,2.718080050691731,15216
2021-04-15,2021-04-15 04:20:54,994,6,988,0,1.571790006325111,0.6036217303822937,15601
2021-04-15,2021-04-15 04:20:54,1057,9,1038,10,4.907149489322191,0.8514664143803217,15602
2021-04-15,2021-04-15 04:20:54,591,6,585,0,1.9052224371373307,1.015228426395939,15603
2021-04-15,2021-04-15 04:20:54,582,1,556,25,1.4767825425019032,0.1718213058419244,15604
2021-04-15,2021-04-15 04:20:54,193,2,190,1,0.7318923018581721,1.0362694300518134,15605
2021-04-15,2021-04-15 04:20:54,2308,8,2256,44,2.0341970738586292,0.3466204506065858,15606
2021-04-15,2021-04-15 04:20:54,270,2,265,3,0.5481120584652862,0.7407407407407407,15607
2021-04-15,2021-04-15 04:20:54,147,2,145,0,0.4083333333333333,1.3605442176870748,15608
2021-04-15,2021-04-15 04:20:54,171,6,165,0,1.8308351177730195,3.508771929824561,15609
2021-04-15,2021-04-15 04:20:54,1317,7,1310,0,1.742985706723134,0.5315110098709187,15610
2021-04-15,2021-04-15 04:20:54,1610,13,1597,0,4.267161410018553,0.8074534161490683,15611
2021-04-15,2021-04-15 04:20:54,1311,22,1284,5,1.3649141072358146,1.6781083142639206,15612
2021-04-15,2021-04-15 04:20:54,11612,209,11237,166,154.88887003687347,1.7998622115053393,344
2021-04-15,2021-04-15 04:20:54,68155,4512,63640,3,115.18505999661993,6.620203946885775,15613
2021-04-15,2021-04-15 04:20:54,1044,4,1035,5,1.5132627917089434,0.3831417624521073,15614
